"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202411","3호선","약수","122","0","6581","1022","10360","6412","26538","13983","37468","34032","28506","23428","20192","16716","19218","16344","21103","16840","21674","17797","21777","19550","22246","21555","23658","25886","29181","32070","32771","43182","19926","28032","15899","19077","15240","16824","11486","15122","5295","8792","918","3564","4","515","1","1","0","0","20241203"
"202411","3호선","양재(서초구청)","51","1","5394","3080","14279","43987","36972","111440","49264","226962","35518","128372","32362","61324","35461","50145","41266","46038","47505","49935","53167","43774","63478","44771","80999","50698","139000","70566","189568","80496","92848","53300","67791","33304","62359","29688","39100","25006","13406","13408","1574","3710","0","41","2","2","0","0","20241203"
"202411","3호선","연신내","321","7","26274","2000","49716","13171","118639","21468","143303","36309","86051","35411","58503","34512","55962","35527","58959","39491","55438","42669","50268","46885","53106","57636","57814","68313","52976","90117","46237","132652","32556","107512","26458","64461","23661","59167","18927","52125","9127","32229","1565","11224","1","29","0","0","0","0","20241203"
"202411","3호선","오금","24","0","4838","19","9716","2357","30438","6632","33428","14161","17945","6832","10995","5697","8800","5031","9417","6611","8848","7177","7669","7152","7687","9718","9493","11628","11903","15985","12652","24139","4911","16700","3764","11553","2857","10403","2688","10569","1246","5783","128","2243","0","3","0","0","0","0","20241203"
"202411","3호선","옥수","191","2","3290","837","9369","4182","23778","7800","33960","13459","24078","11268","16654","8893","14886","11353","14513","12207","14797","13824","15084","14857","15067","18154","16612","20527","18016","27887","17200","35926","11588","26231","9536","17104","8666","15118","5877","13772","2386","6639","392","1901","0","0","0","0","0","0","20241203"
"202411","3호선","을지로3가","15","0","856","1253","1603","9824","4500","35779","8076","78627","10823","34190","11870","17800","12376","15487","12474","14792","14612","15771","17315","13874","19220","14900","24302","17229","47717","21741","68912","24692","28407","14650","21242","7546","21504","5836","18509","4338","9683","2865","1463","774","0","7","0","0","0","0","20241203"
"202411","3호선","일원","10","1","2499","1681","9452","11481","27404","33896","27915","27780","20041","21374","19192","18272","20121","13098","19569","16342","17355","16989","19107","17049","24936","15836","32639","15788","38146","18434","19661","24466","11017","19567","7314","13190","5179","11612","3867","12664","1279","5130","169","1726","2","83","0","0","0","0","20241203"
"202411","3호선","잠원","2","0","1452","926","4783","9582","13825","8237","20526","10792","13073","7614","9756","5008","9544","5470","9485","6323","8500","7214","7405","7270","9708","8718","13136","9168","13381","12108","9567","15089","5468","10492","3605","7256","3445","7346","2340","7124","682","3688","143","1212","0","2","0","0","0","0","20241203"
"202411","3호선","종로3가","34","1","889","1361","1390","6681","2281","15992","3609","42848","6074","44382","8971","38320","11856","31394","13591","27889","15767","26930","20025","25672","25147","24125","30848","23437","44990","23047","56770","22022","29826","12403","21439","7159","22971","5769","18894","4523","8942","2735","1045","980","0","13","0","0","0","0","20241203"
"202411","3호선","지축","21","1","3598","586","12455","4794","32543","6503","33928","12343","19196","7895","12823","6768","10800","6469","11378","7739","10845","9938","10129","9475","11454","11769","12635","15569","12623","21155","11117","31329","7444","25202","5871","15969","5070","14287","4065","12184","1788","6996","226","1330","0","0","0","0","0","0","20241203"
